codice_istat,denominazione_ita_altra,denominazione_ita,denominazione_altra,cap,sigla_provincia,denominazione_provincia,tipologia_provincia,codice_regione,denominazione_regione,tipologia_regione,ripartizione_geografica,flag_capoluogo,codice_belfiore,lat,lon,superficie_kmq,,,
1001,Agliè,Agliè,,10011,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A074,45,3634368,7,7685999,13,1462
1002,Airasca,Airasca,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A109,44,9168832,7,4844311,15,7393
1003,Ala di Stura,Ala di Stura,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A117,45,3151133,7,3043438,46,3315
1004,Albiano d'Ivrea,Albiano d'Ivrea,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A157,45,4338982,7,9491448,11,7314
1006,Almese,Almese,,10040,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A218,45,1176634,7,3951819,17,8756
1007,Alpette,Alpette,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A221,45,4099867,7,5785972,5,6261
1008,Alpignano,Alpignano,,10091,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A222,45,944696,7,5242673,11,9193
1009,Andezeno,Andezeno,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A275,45,358599,7,8699487,7,4860
1010,Andrate,Andrate,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A282,45,5283810,7,8738392,9,3085
1011,Angrogna,Angrogna,,10060,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A295,44,8434461,7,2242923,38,8782
1012,Arignano,Arignano,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A405,45,440280,7,9024464,8,1668
1013,Avigliana,Avigliana,,10051,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A518,45,793571,7,3963234,23,2172
1014,Azeglio,Azeglio,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A525,45,4248665,7,9947706,9,9605
1015,Bairo,Bairo,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A584,45,3862534,7,7569180,7,859
1016,Balangero,Balangero,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A587,45,2700324,7,5193095,13,63
1017,Baldissero Canavese,Baldissero Canavese,,10080,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A590,45,4084080,7,7444444,4,5064
1018,Baldissero Torinese,Baldissero Torinese,,10020,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A591,45,684227,7,8178077,15,4054
1019,Balme,Balme,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A599,45,3022970,7,2183140,62,7105
1020,Banchette,Banchette,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A607,45,4608553,7,8565637,2,289
1021,Barbania,Barbania,,10070,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A625,45,2905029,7,6305109,12,8027
1022,Bardonecchia,Bardonecchia,,10052,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A651,45,781688,6,7038239,132,2030
1023,Barone Canavese,Barone Canavese,,10010,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A673,45,3277288,7,8705562,3,9864
1024,Beinasco,Beinasco,,10092,TO,Torino,Citta metropolitana,1,Piemonte,statuto ordinario,Nord-ovest,NO,A734,45,220777,7,5791581,6,7343
